"Story","Title","Result","Date","Stability","Duration (s)"
"Registro de un nuevo usuario en la pagina de Choucair","El usuario despues de registrarse deberia poder visualizar las diferentes vacantes en la pagina de Choucair","SUCCESS","2022-01-09T17:02:54.028-05:00[America/Bogota]","0.0","85.56"
"Deberia ver las diferentes ofertas laborales en la pagina dw Choucair","El usuario despues de iniciar sesion deberia poder visualizar las diferentes vacantes en la pagina de Choucair.","FAILURE","2022-01-11T15:58:19.078-05:00[America/Bogota]","0.0","198.72"
